Code_Interne,Nom_Patient_FR,Nom_Patient_AR,Nom_Technique,Categorie_FR,Categorie_AR,Prix_Dhs,Pre_Analytique_FR,Pre_Analytique_AR,Description_Patient_FR,Description_Patient_AR,Tags_FR,Tags_AR,Nombre_Demandes
V  VB9E,Vitamine B9 Érythrocytaire,فيتامين ب9 الكريات الحمراء,VITAMINE B9 ERYTHROCYTAIR,Vitamines,الفيتامينات,0,Non à jeun.,بدون صيام.,Folates dans globules rouges.,فوليك في الكريات الحمراء.,vitamine b9; folate; érythrocytes; anémie,فيتامين ب9; فوليك; كريات; فقر دم,5
C  ALCO,Alcoolémie,نسبة الكحول في الدم,ALCOOLEMIE,Toxicologie,السموم والمخدرات,0,Sang ou air expiré.,دم أو هواء منتهي.,Dosage de l'alcool.,جرعة الكحول.,alcool; alcoolémie; éthylisme; sang,كحول; سكر; دم,5
B  HLM,HLM (Compte D'Addis),HLM (عد أديس),HLM (COMPTE D'ADDIS),Bilan Rénal (Reins),فحص الكلى,0,Urines de 3h.,بول 3 ساعات.,Numération cellulaire urinaire.,عد الخلايا البولية.,addis; urines; hématies; leucocytes; reins,أديس; بول; كريات; كلى,5
B  RCH1,Recherche Directe De Chlamydia,بحث مباشر عن الكلاميديا,RECHERCHE DIRECT DE CHLAM,Bactériologie,البكتيريا,0,Prélèvement génital.,عينة تناسلية.,Chlamydia par PCR.,كلاميديا بواسطة PCR.,chlamydia; pcr; mst; génitale,كلاميديا; بي سي آر; أمراض جنسية,5
B  PUS,ECB D'Un Prélèvement De Pus,فحص بكتيري لصديد,ECB D'UN PRELEVEMENT DE P,Bactériologie,البكتيريا,0,Prélèvement stérile de pus.,عينة معقمة من الصديد.,Culture de pus.,زرع الصديد.,pus; abcès; infection; bactérie; plaie,صديد; خراج; عدوى; بكتيريا,5
B  RMY1,Recherche Directe De Mycoplasme,بحث مباشر عن الميكوبلازما,RECHERCHE DIRECT DE MYCOP,Bactériologie,البكتيريا,0,Prélèvement génital.,عينة تناسلية.,Mycoplasme par PCR.,ميكوبلازما بواسطة PCR.,mycoplasme; pcr; mst; génitale,ميكوبلازما; بي سي آر; أمراض جنسية,5
EU PU,Phosphore Urinaire,الفوسفور في البول,PHOSPHORE URINAIRE,Bilan Rénal (Reins),فحص الكلى,0,Urines 24h.,بول 24 ساعة.,Phosphore sur 24h.,فوسفور على 24 ساعة.,phosphore; urines; reins; 24h; parathyroïde,فوسفور; بول; كلى; 24 ساعة,5
MT CALC,Calcitonine,الكالسيتونين,CALCITONINE,Cancer,السرطان,0,Non à jeun.,بدون صيام.,Marqueur cancer médullaire thyroïde.,مؤشر سرطان الغدة الدرقية النخاعي.,calcitonine; thyroïde; cancer; médullaire,كالسيتونين; غدة درقية; سرطان,5
C  SELE,Sélénium Sérique,السيلينيوم,SELENIUM SERIQUE,Bilan Général,فحص عام,0,Le matin. À jeun.,صباحا. صائم.,Oligoélément antioxydant.,عنصر نزر مضاد أكسدة.,sélénium; oligoélément; antioxydant,سيلينيوم; عنصر; مضاد أكسدة,4
EZ ADA,Adénosine Désaminase,الأدينوزين ديأميناز,ADENOSINE DESAMINASE,Bilan Hépatique (Foie),فحص الكبد,0,Selon prélèvement (pleural/péritonéal).,حسب العينة (جنبي/بريتوني).,Enzyme (tuberculose extrapulmonaire).,إنزيم (سل خارج رئوي).,ada; tuberculose; plèvre; liquide; enzyme,أدينوزين; سل; جنب; سائل,4
I  IGG,Immunoglobulines G,الغلوبولينات المناعية G,IMMUNOGLOBULINES G,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Immunité humorale.,مناعة خلطية.,igg; immunoglobulines; immunité; infections,غلوبولين مناعي ج; مناعة; عدوى,4
C  CTF,Capacité Totale De Fixation,القدرة الكلية للتثبيت,CAPACITE TOTALE DE FIXATI,Anémie/Fer,فقر الدم والحديد,0,Le matin. À jeun.,صباحا. صائم.,Capacité de liaison du fer.,قدرة ربط الحديد.,fer; transferrine; ctf; saturation,حديد; ترانسفيرين; قدرة,4
N  17HP,17-Hydroxyprogestérone,17 هيدروكسي بروجستيرون,17 HYDROXY PROGESTERONE,Hormonologie,الهرمونات,0,Le matin. Jour 3 du cycle.,صباحا. اليوم 3 من الدورة.,Hyperplasie surrénale congénitale.,تضخم كظر خلقي.,17-oh; surrénale; hormones; androgènes,17 هيدروكسي; كظر; هرمونات,4
N  CO16,Cortisol 16H,الكورتيزول 4 مساء,CORTISOL 16h,Hormonologie,الهرمونات,0,À 16h.,الساعة 4 مساء.,Cortisol à 16h.,كورتيزول الساعة 4 مساء.,cortisol; 16h; surrénale; rythme,كورتيزول; 4 مساء; كظر; إيقاع,4
I  C3,Complément C3,المتمم C3,COMPLEMENT C3,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Fraction du complément.,جزء من المتمم.,complément; c3; immunité; lupus,متمم; سي 3; مناعة; ذئبة,4
I  EDMA,Ac Anti-Endomysium IgA,أجسام مضادة لبطانة العضل IgA,AC ANTI ENDOMYSUIM IGA,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Maladie cœliaque.,داء زلاقي.,endomysium; cœliaque; gluten; iga,بطانة عضل; داء زلاقي; غلوتين,4
N  COR9,Cortisol 9H,الكورتيزول 9 صباحا,CORTISOL 9H,Hormonologie,الهرمونات,0,À 9h du matin.,الساعة 9 صباحا.,Cortisol à 9h.,كورتيزول الساعة 9.,cortisol; 9h; surrénale; stress,كورتيزول; 9 صباحا; كظر,4
I  ANCA,Ac Anti-Cytoplasme Des Polynucléaires,أجسام مضادة لسيتوبلازم متعددات النوى,AC ANTI CYTOPLASME DES PN,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Vascularites.,التهاب الأوعية.,anca; vascularite; auto-immun; reins,أنكا; التهاب أوعية; مناعة; كلى,4
B  BKU,Recherche De BK Urinaire,بحث عن عصية كوخ بولية,RECHERCHE DE BK URINAIRE,Bactériologie,البكتيريا,0,Urines du matin. 3 jours.,بول الصباح. 3 أيام.,Tuberculose urinaire.,سل بولي.,bk; tuberculose; urines; reins,عصية كوخ; سل; بول; كلى,4
EU PH,pH Urinaire,درجة حموضة البول,PH,Bilan Rénal (Reins),فحص الكلى,0,Urines fraîches.,بول طازج.,pH des urines.,درجة حموضة البول.,ph; urines; acide; alcalin; calculs,حموضة; بول; حمضي; قلوي; حصوات,4
N  CORU,Cortisol Urinaire,الكورتيزول في البول,CORTISOL URINAIRE,Hormonologie,الهرمونات,0,Urines 24h.,بول 24 ساعة.,Cortisol libre sur 24h.,كورتيزول حر على 24 ساعة.,cortisol; urines; cushing; surrénale; 24h,كورتيزول; بول; كوشينغ; كظر,4
O  F8,Facteur VIII C,العامل الثامن,FACTEUR VIIIc,Coagulation,التخثر,0,Non à jeun.,بدون صيام.,Facteur de coagulation (hémophilie A).,عامل التخثر (هيموفيليا أ).,facteur 8; hémophilie; coagulation; saignement,عامل 8; هيموفيليا; تخثر; نزيف,4
S  CMV,Infections Cytomégalovirus,الفيروس المضخم للخلايا,Infections Cytomégalo Vir,Sérologie,الفيروسات,0,Non à jeun. Bilan grossesse.,بدون صيام. فحص الحمل.,Sérologie CMV (grossesse).,فحص الفيروس المضخم (حمل).,cmv; cytomégalovirus; grossesse; virus,فيروس مضخم; حمل; فيروس,4
C  IEFP,Isoélectrofocalisation LC,بؤرة كهربائية للسائل الدماغي,ISOELECTROFOCALISATION LC,Immunologie,المناعة,0,Ponction lombaire.,بزل قطني.,Bandes oligoclonales (SEP).,نطاقات قليلة النسيلة (تصلب متعدد).,isoélectrofocalisation; sep; lcr; sclérose,بؤرة كهربائية; تصلب; سائل دماغي,4
S  HYDA,Sérologie Hydatidose (Dépistage),فحص داء الكيسات المائية,SERO HYDATIDOSE depistage,Sérologie,الفيروسات,0,Non à jeun.,بدون صيام.,Kyste hydatique.,كيس مائي.,hydatidose; kyste; foie; poumon; parasite,داء كيسات; كيس مائي; كبد; رئة,4
TO LITH,Lithium,الليثيوم,LITHUM,Toxicologie,السموم والمخدرات,0,12h après dernière prise.,12 ساعة بعد آخر جرعة.,Dosage lithium (traitement).,جرعة الليثيوم (علاج).,lithium; toxicologie; psychiatrie; bipolarité,ليثيوم; سموم; طب نفسي,3
T  CHLK,Chaînes Légères Libres Kappa,السلاسل الخفيفة الحرة كابا,CHAINES LEGERES LIBRES KA,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Chaînes légères kappa (myélome).,سلاسل خفيفة كابا (ميلوما).,kappa; chaînes légères; myélome; protéines,كابا; سلاسل خفيفة; ميلوما,3
EZ LDHP,LDH Dans Liquide Pleural,LDH في السائل الجنبي,LDH DANS LIQUIDE PLEURAL,Bilan Hépatique (Foie),فحص الكبد,0,Ponction pleurale.,بزل جنبي.,LDH dans épanchement pleural.,إنزيم في السائل الجنبي.,ldh; pleural; épanchement; poumon,إل دي إتش; جنب; انصباب; رئة,3
EZ B2GI,Anti-Bêta 2 Glycoprotéine IgG,أجسام مضادة بيتا 2 غليكوبروتين IgG,Anti-bêta 2 glycoprotéine,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Syndrome antiphospholipides.,متلازمة مضادات الفوسفوليبيدات.,bêta 2; antiphospholipides; thrombose; sapl,بيتا 2; مضادات فوسفوليبيدات; جلطة,3
O  PRC,Protéine C,البروتين سي,PROTEINE C,Coagulation,التخثر,0,Non à jeun.,بدون صيام.,Facteur anticoagulant.,عامل مضاد التخثر.,protéine c; coagulation; thrombose; déficit,بروتين سي; تخثر; جلطة; نقص,3
I  MULI,Ac Anti-Muscle Lisse,أجسام مضادة للعضلات الملساء,AC ANTI MUSCLE LISSE,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Hépatite auto-immune.,التهاب كبد مناعي ذاتي.,muscle lisse; hépatite; auto-immun; foie,عضلات ملساء; التهاب كبد; مناعة,3
C  TRAF,Transferrine,الترانسفيرين,TRANSFERRINE,Anémie/Fer,فقر الدم والحديد,0,Le matin. À jeun.,صباحا. صائم.,Protéine de transport du fer.,بروتين نقل الحديد.,transferrine; fer; anémie; saturation,ترانسفيرين; حديد; فقر دم; تشبع,3
V  VITE,Vitamine E,فيتامين إي,VITAMINE E,Vitamines,الفيتامينات,0,Non à jeun.,بدون صيام.,Antioxydant.,مضاد أكسدة.,vitamine e; antioxydant; tocophérol,فيتامين إي; مضاد أكسدة; توكوفيرول,3
I  ACAG,Ac Anti-Cardiolipine IgG,أجسام مضادة للكارديوليبين IgG,AC ANTI CARDIOLIPINE IGG,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Syndrome antiphospholipides (IgG).,متلازمة مضادات الفوسفوليبيدات (IgG).,cardiolipine; antiphospholipides; thrombose; igg,كارديوليبين; مضادات فوسفوليبيدات; جلطة,3
O  PRS,Protéine S,البروتين إس,PROTEINE S,Coagulation,التخثر,0,Non à jeun.,بدون صيام.,Facteur anticoagulant naturel.,عامل مضاد تخثر طبيعي.,protéine s; coagulation; thrombose; déficit,بروتين إس; تخثر; جلطة; نقص,3
I  C4,Complément C4,المتمم C4,COMPLEMENT C4,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Fraction du complément.,جزء من المتمم.,complément; c4; immunité; lupus,متمم; سي 4; مناعة; ذئبة,3
S  EBV,Sérologie EBV IgG - IgM,فحص فيروس إبشتاين بار,SEROLOGIE  EBV IGG - IGM,Sérologie,الفيروسات,0,Non à jeun.,بدون صيام.,Mononucléose infectieuse.,كثرة الوحيدات العدوائية.,ebv; mononucléose; fatigue; angine; virus,إبشتاين بار; كثرة وحيدات; تعب; فيروس,3
I  GAD,Anticorps Anti-GAD,أجسام مضادة ضد GAD,Anticorps Anti GAD,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Diabète type 1 auto-immun.,السكري نوع 1 المناعي الذاتي.,gad; diabète; type 1; auto-immun; pancréas,جي إيه دي; السكري; نوع 1; مناعة,3
N  PROG,Progestérone,البروجسترون,PROGESTERONE,Hormonologie,الهرمونات,0,Jour 21 du cycle.,اليوم 21 من الدورة.,Hormone de grossesse.,هرمون الحمل.,progestérone; grossesse; ovulation; lutéale,بروجسترون; حمل; إباضة; لوتيني,3
ZB ATB2,ATB 2ème,مضادات حيوية ثانية,ATB 2EME,Bactériologie,البكتيريا,0,Selon prélèvement.,حسب العينة.,Deuxième antibiogramme.,مضادات حيوية ثانية.,antibiogramme; 2ème; antibiotiques,مضادات حيوية; ثانية,3
EU NAU,Sodium Urinaire,الصوديوم في البول,SODIUM URINAIRE,Bilan Rénal (Reins),فحص الكلى,0,Urines 24h.,بول 24 ساعة.,Sodium sur 24h.,صوديوم على 24 ساعة.,sodium; urines; sel; reins; 24h,صوديوم; بول; ملح; كلى; 24 ساعة,3
B  PVU,Prélèvement Vulvaire,عينة فرجية,PRELEVEMENT VULVAIRE,Bactériologie,البكتيريا,0,Hors menstruation.,خارج الحيض.,Infection vulvaire.,عدوى فرجية.,vulvaire; mycose; infection; pertes,فرجية; فطريات; عدوى; إفرازات,3
I  ACAR,Ac Anti-Cardiolipine IgM,أجسام مضادة للكارديوليبين IgM,AC ANTI CARDIOLIPINE IGM,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Syndrome antiphospholipides (IgM).,متلازمة مضادات الفوسفوليبيدات (IgM).,cardiolipine; antiphospholipides; thrombose; igm,كارديوليبين; مضادات فوسفوليبيدات; جلطة,3
B  ATB-,Antibiogramme B-,مضادات حيوية B-,ANTIBIOGRAMME B-,Bactériologie,البكتيريا,0,Selon prélèvement.,حسب العينة.,Sensibilité antibiotiques bacilles-.,حساسية مضادات للعصيات-.,antibiogramme; antibiotiques; bacilles,مضادات حيوية; عصيات,3
B  ATBD,Antibiogramme,مضادات حيوية,ANTIBIOGRAMME,Bactériologie,البكتيريا,0,Selon prélèvement.,حسب العينة.,Test antibiotiques.,فحص المضادات الحيوية.,antibiogramme; antibiotiques; sensibilité,مضادات حيوية; حساسية,3
B  CPR3,Coproparasitologie 3X,فحص طفيليات البراز 3 مرات,COPROPARASITOLOGIE 3 X,Parasitologie,الطفيليات,0,Selles 3 jours consécutifs.,براز 3 أيام متتالية.,Recherche parasites (3 échantillons).,فحص طفيليات (3 عينات).,parasites; selles; 3 fois; vers,طفيليات; براز; 3 مرات; ديدان,3
B  PLEU,Examen D'Un Liquide Pleural,فحص السائل الجنبي,EXAMEN D'UN LIQUIDE PLEUR,Bactériologie,البكتيريا,0,Ponction pleurale.,بزل جنبي.,Analyse liquide pleural.,تحليل السائل الجنبي.,pleural; épanchement; poumon; ponction,جنبي; انصباب; رئة; بزل,3
C  APOA,Apolipoprotéine A1,صميم البروتين الدهني A1,APOLIPOPROTEINE A1,Cardiologie,القلب والشرايين,0,À jeun.,صائم.,Apolipoprotéine du HDL.,صميم بروتين الكوليسترول الجيد.,apo a1; hdl; cholestérol; cœur,أبو أ1; كوليسترول جيد; قلب,3
I  EDMG,Anticorps Anti-Endomysium IgG,أجسام مضادة لبطانة العضل IgG,Anticorps Anti-Endomysium,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Maladie cœliaque (IgG).,داء زلاقي (IgG).,endomysium; cœliaque; gluten; igg,بطانة عضل; داء زلاقي; غلوتين,3
BS ACTH,ACTH,الهرمون الموجه لقشر الكظر,ACTH,Hormonologie,الهرمونات,0,Le matin à 8h. Tube glacé.,صباحا الساعة 8. أنبوب مبرد.,Hormone surrénalienne (Cushing).,هرمون الكظر (كوشينغ).,acth; surrénale; cushing; cortisol,إيه سي تي إتش; كظر; كوشينغ; كورتيزول,3
S  GHBE,Antigène HBe,مستضد HBe,ANTIGENE HBE,Sérologie,الفيروسات,0,Non à jeun.,بدون صيام.,Réplication Hépatite B.,تكاثر فيروس الكبد ب.,hépatite b; hbe; antigène; réplication,التهاب كبد ب; مستضد; تكاثر,3
T  CHLL,Chaînes Légères Libres Lambda,السلاسل الخفيفة الحرة لامبدا,CHAINES LEGERES LIBRES LA,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Chaînes légères lambda (myélome).,سلاسل خفيفة لامبدا (ميلوما).,lambda; chaînes légères; myélome; protéines,لامبدا; سلاسل خفيفة; ميلوما,3
HS AT3,Anti-Thrombine III,مضاد الثرومبين الثالث,ANTI THROMBINE III,Coagulation,التخثر,0,Non à jeun.,بدون صيام.,Facteur anticoagulant.,عامل مضاد التخثر.,antithrombine; at3; coagulation; thrombose,مضاد ثرومبين; تخثر; جلطة,3
C  FRUC,Fructosamines,الفروكتوزامين,FRUCTOSAMINES,Diabète,السكري,0,À jeun.,صائم.,Contrôle diabète sur 2-3 semaines.,مراقبة السكري على 2-3 أسابيع.,fructosamines; diabète; sucre; contrôle,فروكتوزامين; السكري; سكر; مراقبة,3
I  SP10,Anticorps Anti-SP100,أجسام مضادة SP100,Anticorps anti-SP100 - Ig,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Cirrhose biliaire primitive.,تشمع صفراوي أولي.,sp100; cirrhose; foie; auto-immun,إس بي 100; تشمع; كبد; مناعة,2
N  PEPC,C-Peptide,الببتيد سي,C PEPTIDE,Hormonologie,الهرمونات,0,À jeun strict.,صيام صارم.,Fonction pancréatique (insuline).,وظيفة البنكرياس (أنسولين).,c-peptide; insuline; diabète; pancréas,ببتيد سي; أنسولين; السكري; بنكرياس,2
V  VB6,Vitamine B6,فيتامين ب6,VITAMINE B6,Vitamines,الفيتامينات,0,Non à jeun.,بدون صيام.,Métabolisme protéines.,أيض البروتينات.,vitamine b6; pyridoxine; nerfs,فيتامين ب6; بيريدوكسين; أعصاب,2
MT HCGP,Bêta-HCG Homme,هرمون الحمل عند الرجل,BETA HCG HOMME,Cancer,السرطان,0,Non à jeun.,بدون صيام.,Marqueur tumoral testiculaire.,مؤشر ورم خصوي.,hcg; cancer; testicule; tumeur; hommes,هرمون حمل; سرطان; خصية; ورم; رجال,2
EU LABS,Labstix Urinaire,اختبار البول السريع,LABSTIX URINAIRE,Bilan Rénal (Reins),فحص الكلى,0,Urines fraîches.,بول طازج.,Bandelette urinaire rapide.,شريط فحص بول سريع.,urines; bandelette; dépistage; rapide,بول; شريط; فحص; سريع,2
EZ B2GM,Anti-Bêta 2 Glycoprotéine IgM,أجسام مضادة بيتا 2 IgM,Anti-bêta 2 glycoprotéine,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Syndrome antiphospholipides.,متلازمة مضادات الفوسفوليبيدات.,bêta 2; antiphospholipides; thrombose; igm,بيتا 2; مضادات فوسفوليبيدات; جلطة,2
EU UU,Urée Urinaire,اليوريا في البول,UREE URINAIRE,Bilan Rénal (Reins),فحص الكلى,0,Urines 24h.,بول 24 ساعة.,Urée sur 24h.,يوريا على 24 ساعة.,urée; urines; reins; 24h,يوريا; بول; كلى; 24 ساعة,2
B  ATB1,Antibiogramme 1,مضادات حيوية 1,ANTIBIOGRAMME 1,Bactériologie,البكتيريا,0,Selon prélèvement.,حسب العينة.,Premier antibiogramme.,مضادات حيوية أولى.,antibiogramme; antibiotiques; premier,مضادات حيوية; أول,2
HS ATCL,Anticoagulant Circulant Lupique,مضاد التخثر الذئبي,ANTICOAGULANT CIRCULANT D,Coagulation,التخثر,0,Non à jeun.,بدون صيام.,Syndrome antiphospholipides.,متلازمة مضادات الفوسفوليبيدات.,anticoagulant; lupique; thrombose; sapl,مضاد تخثر; ذئبي; جلطة,2
O  F9,Facteur IX,العامل التاسع,FACTEUR IX (ANTIHEMOPHILI,Coagulation,التخثر,0,Non à jeun.,بدون صيام.,Facteur de coagulation (hémophilie B).,عامل التخثر (هيموفيليا ب).,facteur 9; hémophilie; coagulation; saignement,عامل 9; هيموفيليا; تخثر; نزيف,2
C  IMEL,Immuno-Électrophorèse LCR,رحلان مناعي للسائل الدماغي,IMMUNO ELECTROPHORESE DAN,Immunologie,المناعة,0,Ponction lombaire.,بزل قطني.,Immunoglobulines dans LCR.,غلوبولينات مناعية في السائل الدماغي.,immunoélectrophorèse; lcr; sclérose; sep,رحلان مناعي; سائل دماغي; تصلب,2
C  MGE,Magnésium Érythrocytaire,المغنيسيوم في الكريات الحمراء,Magnésium Erytrocytaire,Bilan Général,فحص عام,0,Non à jeun.,بدون صيام.,Magnésium intracellulaire.,مغنيسيوم داخل الخلايا.,magnésium; érythrocytes; globules rouges,مغنيسيوم; كريات حمراء,2
B  PARE,Parasitologie Des Selles,فحص طفيليات البراز,PARASITOLOGIE DES SELLES,Parasitologie,الطفيليات,0,Selles fraîches.,براز طازج.,Recherche parasites.,فحص الطفيليات.,parasites; selles; vers; amibes,طفيليات; براز; ديدان; أميبا,2
M  PHEC,Recherche De Phencyclidine,بحث عن الفينسيكليدين,Recherche de PHENCYCLIDIN,Toxicologie,السموم والمخدرات,0,Urines fraîches.,بول طازج.,Dépistage PCP (drogue).,فحص PCP (مخدر).,phencyclidine; pcp; drogue; urines,فينسيكليدين; مخدر; بول,2
I  IGGS,Sous-Classes IgG4,الفئة الفرعية IgG4,SOUS CLASSES IGG4,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Immunoglobulines G4.,غلوبولين مناعي ج4.,igg4; immunoglobulines; allergie,آي جي جي 4; غلوبولين; حساسية,2
B  LART,Liquide Articulaire,السائل المفصلي,LIQUIDE ARTICULAIRE,Bactériologie,البكتيريا,0,Ponction articulaire.,بزل مفصلي.,Analyse liquide synovial.,تحليل السائل الزليلي.,liquide; articulaire; arthrite; ponction,سائل; مفصلي; التهاب مفصل; بزل,2
I  GLIA,Auto-Ac Antigliadine IgA,أجسام مضادة للغليادين IgA,AUTO AC ANTIGLIADINE IGA,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Maladie cœliaque (ancien test).,داء زلاقي (فحص قديم).,gliadine; cœliaque; gluten; iga,غليادين; داء زلاقي; غلوتين,2
I  GLIG,Anticorps Anti-Gliadine IgG,أجسام مضادة للغليادين IgG,ANTICORPS ANTI GLIADINE I,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Maladie cœliaque (ancien test).,داء زلاقي (فحص قديم).,gliadine; cœliaque; gluten; igg,غليادين; داء زلاقي; غلوتين,2
I  GP21,Anticorps Anti-GP210,أجسام مضادة GP210,Anticorps anti-GP 210,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Cirrhose biliaire primitive.,تشمع صفراوي أولي.,gp210; cirrhose; foie; auto-immun,جي بي 210; تشمع; كبد; مناعة,2
SE SCHL,Sérologie Chlamydia,فحص الكلاميديا,SERO CHLAMYDIA,Sérologie,الفيروسات,0,Non à jeun.,بدون صيام.,Sérologie Chlamydia.,فحص الكلاميديا.,chlamydia; sérologie; mst; anticorps,كلاميديا; أجسام مضادة; أمراض جنسية,2
S  AHBE,Anticorps HBe,أجسام مضادة HBe,ANTICORPS HBE,Sérologie,الفيروسات,0,Non à jeun.,بدون صيام.,Hépatite B (anticorps HBe).,التهاب الكبد ب (أجسام مضادة HBe).,hépatite b; hbe; anticorps; guérison,التهاب كبد ب; أجسام مضادة; شفاء,2
I  RPM,Rupture De La Poche,تمزق الكيس الأمنيوسي,REPTURE DE LA POCHE,Grossesse,الحمل,0,Liquide vaginal.,سائل مهبلي.,Test rupture des membranes.,فحص تمزق الأغشية.,rupture; poche; grossesse; membranes; accouchement,تمزق; كيس; حمل; أغشية; ولادة,2
C  APOB,Apolipoprotéine B,صميم البروتين الدهني ب,APOLIPOPROTEINE B,Cardiologie,القلب والشرايين,0,À jeun.,صائم.,Apolipoprotéine du LDL.,صميم بروتين الكوليسترول الضار.,apo b; ldl; cholestérol; cœur,أبو ب; كوليسترول ضار; قلب,2
I  LYME,Sérologie Lyme,فحص داء لايم,SERO LYME,Sérologie,الفيروسات,0,Non à jeun.,بدون صيام.,Maladie de Lyme (tique).,داء لايم (قرادة).,lyme; tique; borréliose; articulations,لايم; قرادة; مفاصل,2
I  LEID,Facteur 5 De Leiden,عامل ليدن 5,FACTEUR 5  DE LEIDEN,Génétique,الجينات,0,Non à jeun.,بدون صيام.,Mutation thrombophilie.,طفرة جلطات وراثية.,facteur 5; leiden; thrombose; génétique,عامل 5; ليدن; جلطة; جينات,2
I  IGM,Immunoglobulines M,الغلوبولينات المناعية M,IMMUNOGLOBULINES M,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Immunité primaire.,مناعة أولية.,igm; immunoglobulines; immunité; infections,غلوبولين مناعي م; مناعة; عدوى,1
EU ACUU,Acide Urique Urinaire,حمض البوليك في البول,ACIDE URIQUE URINAIRE,Rhumatologie,الروماتيزم,0,Urines 24h.,بول 24 ساعة.,Acide urique sur 24h.,حمض بوليك على 24 ساعة.,acide urique; urines; goutte; calculs,حمض بوليك; بول; نقرس; حصوات,1
EU MGU,Magnésium Urinaire,المغنيسيوم في البول,MAGNESIUM URINAIRE,Bilan Rénal (Reins),فحص الكلى,0,Urines 24h.,بول 24 ساعة.,Magnésium sur 24h.,مغنيسيوم على 24 ساعة.,magnésium; urines; reins; 24h,مغنيسيوم; بول; كلى; 24 ساعة,1
EU KU,Potassium Urinaire,البوتاسيوم في البول,Potassium Urinaire,Bilan Rénal (Reins),فحص الكلى,0,Urines 24h.,بول 24 ساعة.,Potassium sur 24h.,بوتاسيوم على 24 ساعة.,potassium; urines; reins; 24h,بوتاسيوم; بول; كلى; 24 ساعة,1
EG ROU,Sérologie Rougeole IgG,فحص الحصبة IgG,SEROLOGIE ROUGEOLE IGG,Sérologie,الفيروسات,0,Non à jeun.,بدون صيام.,Immunité rougeole.,مناعة الحصبة.,rougeole; immunité; igg; vaccin,حصبة; مناعة; لقاح,1
N  CHGA,Chromogranine A,الكروموغرانين أ,CHROMOGRANINE A,Cancer,السرطان,0,À jeun.,صائم.,Marqueur tumeur neuroendocrine.,مؤشر ورم غدد صم عصبية.,chromogranine; tumeur; neuroendocrine; cancer,كروموغرانين; ورم; غدد; سرطان,1
EG MBG,Ac Anti-Membrane Basale Glomérulaire,أجسام مضادة للغشاء القاعدي,AC ANTI-MEMBRANE BASALE G,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Syndrome de Goodpasture.,متلازمة غودباستشر.,membrane; basale; reins; goodpasture,غشاء; قاعدي; كلى; غودباستشر,1
EG INTO,Intolérance Alimentaire Panel,اختبار عدم تحمل الأطعمة,INTOLERANCE ALIMENTAIRE P,Allergie,الحساسية,0,Non à jeun.,بدون صيام.,Test intolérance alimentaire.,فحص عدم تحمل الأطعمة.,intolérance; aliments; allergie; igg,عدم تحمل; أطعمة; حساسية,1
I  CH50,Complément Total,المتمم الكلي,COMPLEMENT TOTAL,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Activité totale du complément.,نشاط المتمم الكلي.,complément; ch50; immunité; lupus,متمم; مناعة; ذئبة,1
I  IA2,Ac Anti-IA2,أجسام مضادة IA2,Ac anti IA2,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Diabète type 1 auto-immun.,السكري نوع 1 المناعي.,ia2; diabète; type 1; auto-immun,آي إيه 2; السكري; نوع 1; مناعة,1
HS F5,Facteur V,العامل الخامس,FACTEUR V (PROACCELERINE),Coagulation,التخثر,0,Non à jeun.,بدون صيام.,Facteur de coagulation V.,عامل التخثر الخامس.,facteur 5; coagulation; proaccélérine,عامل 5; تخثر,1
EZ ANCT,Ac Anti-Cytoplasme (Titrage),أجسام مضادة للسيتوبلازم,AC ANTI CYTOPLASME DES PO,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,ANCA titrage.,مضادات السيتوبلازم معايرة.,anca; titrage; vascularite; reins,أنكا; معايرة; التهاب أوعية,1
